ID,sample_id,pig,period,diet,trt,ATTD_DM,ATTD_GE,ATTD_CP,ATTD_NDF,ATTD_EE,ATTD_ASH,,,,,,,,,,,,,,,,,,,,,,,,
ZB74,1803033,3,2,DDGS,AMF,81.69,81.06,83.30,60.91,28.89,52.59,,,,,,,,,,,,,,,,,,,,,,,,
ZB78,1803016,4,1,DDGS,AMF,83.60,82.62,83.89,71.56,38.45,57.34,,,,,,,,,,,,,,,,,,,,,,,,
ZB87,1803018,6,1,DDGS,AMF,81.84,81.41,83.50,58.95,30.04,52.11,,,,,,,,,,,,,,,,,,,,,,,,
ZB95,1803037,12,2,DDGS,AMF,80.30,79.58,82.84,55.06,12.86,52.94,,,,,,,,,,,,,,,,,,,,,,,,
ZB104,1803046,32,2,DDGS,AMF,81.04,80.65,82.98,58.08,34.21,47.96,,,,,,,,,,,,,,,,,,,,,,,,
ZB91,1803032,2,2,DDGS,CTR,81.67,80.92,86.09,46.71,12.34,58.35,,,,,,,,,,,,,,,,,,,,,,,,
ZB92,1803034,4,2,DDGS,CTR,83.92,83.16,85.41,65.27,20.03,59.47,,,,,,,,,,,,,,,,,,,,,,,,
ZB75,1803023,26,1,DDGS,CTR,81.65,80.87,82.79,54.44,20.33,57.07,,,,,,,,,,,,,,,,,,,,,,,,
ZB100,1803042,27,2,DDGS,CTR,84.09,83.44,86.04,66.90,33.72,61.62,,,,,,,,,,,,,,,,,,,,,,,,
ZB83,1803028,32,1,DDGS,CTR,82.90,82.09,84.69,55.54,37.61,60.53,,,,,,,,,,,,,,,,,,,,,,,,
ZB73,1803030,35,1,DDGS,CTR,81.59,81.52,83.14,56.96,31.09,49.02,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
