Label,Alanine,Asparagine,Aspartic acid,Citrulline,Glutamic acid,Glycine,Isoleucine,Leucine,Methionine sulfoxide,Phenylalanine,Proline,Serine,Taurine,Threonine,Tyrosine dimer,Valine,Arginine,Lysine,Histidine,Tryptophan,Ornithine,Lithochollic acid,Chenodeoxycholic acid,Cholic acid,Glycodeoxycholic acid,Taurochenodeoxychollic acid,Deoxycholic acid,Glycocholic acid,Glycochenodeoxycholic acid,Taurodeoxycholic acid,Taurochlic acid,Palmitic acid,Palmitoleic acid,Stearic acid,Oleic acid,Linoleic acid,Myristic acid,Myristoleic acid,Lauric acid,Pentadecanoic acid,Caproic acid,Caprylic acid,Capric acid,Margaric acid,Heptadecenoic acid,Acetic acid,Propionic acid,Butyric acid,Valeric acid
ZB54,81.61,0.26,30.62,0.35,123.29,5.78,18.23,18.23,0.9,9.58,8.87,2.84,0,2.74,77.55,17.92,0.17,15.06,0.16,0,0.13,508.33,0,972.4,1.35,1,0,0,7.19,4,5.67,4.5,3.48,2.5,124.79,21.39,532.5,0.02,18.69,699.55,89.49,0.1,0.1,183.18,0.18,19.89,17.1,14.24,7.22
ZB55,77.42,0,5.46,1.75,194.36,4.13,5.12,5.12,1.64,3.14,14.05,1.89,0,1.43,27.36,10.31,0.17,3.51,0,0,0,1049.66,363.52,1160.75,1.35,1.5,497.78,0,119.6,7,8.25,8.22,5.46,5.88,692.61,118.73,711.5,0.05,55.05,979.3,7.04,0.23,0.14,83.95,1.45,6.77,5.26,4.02,2.08
ZB56,76.44,0.4,110.88,0.7,215.69,3,3.15,3.15,0.6,4.46,7.02,1.89,0,1.79,67.41,3.05,0.17,9.65,0.31,0,0,543.42,193.14,0,31.02,0,286.97,0,43.61,18.99,2.58,7.42,4.12,3.72,654.65,111.92,937.2,0.08,31.38,1184.93,534.26,0.45,0.48,191.6,0.41,17.18,15.46,12.55,5.69
ZB57,50.6,0.13,2.26,1.93,89.46,1.43,1.31,1.31,1.19,2.81,4.26,1.16,0,0.83,31.71,1.99,0,4.97,0.16,0,0.13,275.72,31.8,0,0.45,0,20.02,0,2.25,4.5,3.09,5.62,2.46,3.75,222.71,38.18,972.2,0,44.67,1081.21,188.16,0.23,0.26,568.51,0.23,8.71,7.6,5.7,3.07
ZB58,47.22,0.4,10.25,2.63,83.28,1.88,1.97,1.97,0,1.82,1.38,1.26,0,1.07,12.32,1.99,0,2.49,0.31,0,0.13,255.34,20.81,0,0.45,0.5,31.01,0,0.9,2.5,2.58,2.68,1.02,1.86,131.38,22.52,312.3,0,6.36,329.59,186.53,0.23,0.08,124.67,0.09,6.2,6.2,5.38,2.15
ZB59,135.42,0,254.11,2.1,138.74,12.91,51.29,51.29,1.64,3.63,1.27,1.47,0,1.31,25.37,40.42,0,12.72,0.31,0,0.13,474.8,54.17,0,0.45,1,79.69,0,4.5,2.5,7.22,5.3,0.72,2.92,178.81,30.65,422.6,0.05,18.12,1072.46,244.07,0.24,0.12,524.27,1.13,35.71,39.74,25.8,13.95
ZB60,73.59,0,9.85,1.4,324.57,5.03,3.94,3.94,1.79,4.46,23.37,1.89,0,0.95,50.37,9.72,0.17,2.05,0,0,0,397.72,7.07,0,9.44,1.5,10.6,0,6.29,1.5,9.8,10.46,21.42,6.48,1321.54,226.49,1208.3,0.15,85.56,1629.94,586.73,1.46,0.54,115.36,0.24,6.66,4.94,4.05,3.37
ZB61,44.28,0.26,13.44,1.58,59,0.75,0.66,0.66,0.75,1.98,3.68,0.53,0,0.6,32.07,0.7,0,2.19,0.16,0,0.13,236.71,8.24,0,0.45,0,24.73,0,5.4,2.5,4.64,4.89,2.76,3.14,315.42,54.07,582.3,0.01,9.66,761.88,231.78,0.22,0.14,155.2,0.07,14.43,12.5,10.53,5.57
ZB62,78.67,0.4,204.46,2.1,177,1.73,3.41,3.41,3.88,2.15,4.49,1.37,0,1.07,18.66,2.69,0,2.05,0.31,0,0.13,546.09,13.35,181.81,9.89,1,20.02,0,3.6,1.5,3.09,4.31,2.24,3.99,205.17,35.16,415.9,0.03,37.38,600.46,230.09,0.41,0.14,416.95,0.55,7.98,6.7,4.84,2.9
ZB63,100.05,0.26,37.14,1.93,211.43,5.63,6.03,6.03,4.03,5.12,7.02,1.89,0,2.38,43.85,8.2,0.17,8.48,0.16,0,0,283.96,7.46,0,3.6,1.5,31.41,0,9.89,1.5,2.58,4.23,1.32,2.16,136.72,23.43,678.7,0.01,12.06,627.58,264.84,0.31,0.08,80.4,0.27,13.1,13.64,11.14,6.87
ZB64,156.62,0.13,120.33,0.88,203.04,18.09,33.32,33.32,2.24,2.15,2.53,2.31,0,5.72,21.74,33.86,0,8.04,0.16,0,0.26,350.45,1933.41,1076.17,8.99,0,2877.55,0,6.74,8,10.31,5.47,3.66,2.78,423.43,72.57,484.7,0.01,22.14,575.26,615.24,0.64,0.12,50.69,0.38,11.91,13.32,11.22,8.44
ZB65,41.61,0.26,91.45,0.35,154.93,2.03,5.64,5.64,1.19,0.99,0.35,0.53,0,0.83,9.78,4.45,0.35,3.8,0.16,0,0.13,1635.21,41.61,0,129.04,1,50.25,0,360.15,7,3.09,8.44,2.34,5.89,306.86,52.6,954.8,0.07,35.85,1125.75,583.13,0.62,0.36,97.55,0.31,46.36,36.77,31.72,20.53
ZB66,96.22,0.13,12.91,1.58,31.34,1.28,12.07,12.07,1.34,0.5,0.58,0.95,0.13,0.48,3.62,16.99,0,1.75,0.16,0,0.13,462.88,5.1,0,0.9,1,4.71,0,1.35,2,4.13,5.76,0.38,3.7,94.34,16.17,1080,0.03,19.83,1220.41,423.6,0.7,0.14,826.42,0.25,20.5,17.49,17.33,11.02
ZB67,40.27,0.53,43.26,0.53,103.87,3.23,2.89,2.89,2.09,2.15,1.5,1.79,0,1.31,21.93,1.41,0.17,6.29,0.31,0,0,600.96,154.67,0,12.59,1,254.39,0,35.07,11.99,3.09,4.66,4.72,2.62,505.54,86.62,336.2,0.04,11.73,427.8,397.77,0.31,0.06,65.05,0.25,17.16,15.56,13.68,6.19
ZB68,80.98,0.13,48.19,0.88,341.34,1.95,2.62,2.62,1.64,1.16,1.73,1.47,0.13,1.19,11.42,3.75,0,3.51,0.16,0,0.13,348.19,0,0,0.45,0,5.5,0,13.49,1.5,3.09,2.57,0.56,1.84,111.84,19.17,278.9,0.01,17.19,309.73,83.45,0.09,0.06,100.53,0.05,8.5,7.1,6.1,3.37
ZB69,67.08,0.4,15.17,0.53,209.22,3.38,3.28,3.28,1.49,3.14,9.56,1.89,0.13,1.31,26.46,5.27,0.17,5.85,0.16,0,0,921.04,179.8,0,29.23,0,206.49,0,80.93,4.5,3.09,3.26,2.62,2.28,153,26.22,436.1,0.01,26.52,420.99,193.92,0.4,0.14,62.93,0.1,6.98,6.05,5.21,3.01
ZB70,61.2,0.53,27.55,0.53,186.12,1.5,1.18,1.18,0.45,0.99,3.45,0.74,0,1.07,10.33,2.34,0,3.65,0.47,0,0,171.95,15.31,0,3.6,0,1.57,0,9.89,1.5,16.5,2.9,2.94,1.93,301.92,51.76,320.2,0.03,12.18,335.54,250.31,0.2,0.1,30.31,0.14,11.94,11.07,8.6,4.48
ZB71,43.03,0.13,22.89,0.53,27.81,2.03,1.57,1.57,1.94,0.66,2.07,0.63,0,0.6,1.45,1.99,0,0.44,0,0,0.13,202.25,24.73,0,0.9,0,11.38,0,7.19,8,4.64,3.96,0.72,2.35,225.59,38.64,281.5,0.01,12.21,543.15,345.74,0.3,0.08,222.38,0.14,24.59,24.01,17.96,12.02
ZB73,28.95,0,4.26,0.7,59.73,1.2,1.05,1.05,0.45,0.5,2.88,0.63,0.13,0.48,3.44,2.11,0,0.44,0,0,0,543.9,47.89,0,11.69,1.5,22.77,0,31.92,19.49,3.61,3.64,0.6,2.96,97.28,16.68,341.8,0.01,10.17,687.25,2.13,0.1,0.06,779.46,0.2,3.46,2.79,2.25,1.34
ZB75,87.84,0.26,15.31,0.7,51.94,2.78,50.11,50.11,0.9,0.17,0.46,0.42,0.13,1.43,3.99,76.62,0.17,4.82,0.16,0,0.13,280.07,37.69,0,0.45,4,56.14,0,13.94,5,10.83,5.16,0.76,2.62,279.63,47.94,789.4,0,14.34,1071.66,184.25,0.18,0.06,423.85,0.23,17.75,17.26,13.1,5.82
ZB83,27.17,0,10.65,0.18,70.18,0.98,1.05,1.05,1.49,0.5,0.46,0.63,0,0.48,3.08,2.11,0,3.36,0.16,0,0.13,0,4.71,0,0,1,1.96,0,0,4,3.61,3.16,0.92,1.86,120.27,20.62,323.2,0.02,7.17,562.5,48.38,0.04,0.12,252.75,0.05,11.7,11.23,8.84,4.33
ZB91,14.7,0,4.26,0,63.85,0.6,0.52,0.52,0.6,0.33,2.65,0.32,0,0.24,2.17,1.29,0,0.88,0,0,0,628.14,0,0,0.45,0,0,0,6.29,10.49,15.99,2.91,0.46,1.85,68.36,11.72,302.3,0,8.88,597.67,2,0.07,0.04,548.05,0.13,3,2.29,1.9,1.21
ZB92,66.02,0.26,18.64,0,98.28,5.18,22.17,22.17,0,0.66,1.15,0.95,0,2.26,9.6,40.53,0,12.57,0.16,0,0.13,322.11,453.81,0,0.45,3.5,674.44,0,9.44,12.99,3.09,3.38,0.32,2.37,143.11,24.53,466.4,0,11.76,602.46,116.72,0.09,0.06,402.79,0.08,11.13,10.24,8.28,3.73
